epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,779.867,0.96616,2.92211,0.01451,0.85281,0.72797,0.8348,0.62632,0.86565,2.23267,0.02131,0.000663854,0.000663854,0.000663854
2,1491.69,1.06151,1.49392,0.01605,0.81055,0.7235,0.83357,0.60785,0.9774,1.18877,0.02564,0.00130418,0.00130418,0.00130418
3,2242.94,1.13087,1.1675,0.01708,0.82466,0.72979,0.82173,0.56521,1.1028,1.06492,0.029,0.0019181,0.0019181,0.0019181
4,2994.8,1.13258,1.0747,0.01764,0.86427,0.78884,0.88177,0.62393,1.0743,0.76414,0.02966,0.0018812,0.0018812,0.0018812
5,3742.53,1.08711,0.96093,0.01662,0.87264,0.77444,0.8694,0.64428,0.98121,0.73646,0.02616,0.0018416,0.0018416,0.0018416
6,4518.8,1.08084,0.92873,0.01629,0.86113,0.81034,0.89619,0.67317,0.93139,0.63756,0.02415,0.001802,0.001802,0.001802
7,5228.55,1.05062,0.89225,0.01588,0.86491,0.82312,0.90064,0.67965,0.9202,0.60741,0.02376,0.0017624,0.0017624,0.0017624
8,5937.41,1.01868,0.86972,0.0151,0.87859,0.84107,0.91581,0.71025,0.83574,0.55511,0.01994,0.0017228,0.0017228,0.0017228
9,6623.59,1.02379,0.86226,0.01525,0.88613,0.82886,0.90865,0.68247,0.93096,0.58304,0.02271,0.0016832,0.0016832,0.0016832
10,7327.91,1.00567,0.82593,0.01504,0.85806,0.85951,0.9219,0.70559,0.83852,0.57388,0.02022,0.0016436,0.0016436,0.0016436
11,8004.04,0.98151,0.79833,0.01457,0.90097,0.85405,0.92748,0.71999,0.83654,0.51634,0.02086,0.001604,0.001604,0.001604
12,8703.47,0.97033,0.76248,0.01407,0.87686,0.83461,0.91602,0.71126,0.83173,0.55995,0.02025,0.0015644,0.0015644,0.0015644
13,9375.82,0.95473,0.74509,0.01404,0.91038,0.87575,0.93601,0.74633,0.75502,0.4791,0.01773,0.0015248,0.0015248,0.0015248
14,9992.91,0.95195,0.74167,0.01378,0.92134,0.85262,0.93559,0.73398,0.77916,0.50159,0.01836,0.0014852,0.0014852,0.0014852
15,10791,0.92712,0.72767,0.01334,0.92929,0.85057,0.93792,0.74994,0.76836,0.43566,0.01835,0.0014456,0.0014456,0.0014456
16,11475.7,0.90711,0.69516,0.01312,0.91476,0.84994,0.93773,0.76035,0.71477,0.4383,0.01678,0.001406,0.001406,0.001406
17,12153.4,0.9233,0.70898,0.01349,0.90457,0.88378,0.9427,0.7625,0.73262,0.42157,0.0174,0.0013664,0.0013664,0.0013664
18,12786.4,0.89636,0.68078,0.01284,0.9172,0.88422,0.94685,0.75685,0.7628,0.42029,0.01765,0.0013268,0.0013268,0.0013268
19,13563.3,0.87364,0.65939,0.0122,0.94216,0.86335,0.94965,0.76961,0.75452,0.40429,0.01848,0.0012872,0.0012872,0.0012872
20,14252.8,0.87738,0.66511,0.01249,0.94797,0.85888,0.94795,0.76703,0.71854,0.40055,0.01656,0.0012476,0.0012476,0.0012476
21,14963.8,0.84752,0.63448,0.012,0.92456,0.87995,0.95364,0.78518,0.68087,0.38114,0.01583,0.001208,0.001208,0.001208
22,15648.9,0.85447,0.6367,0.01191,0.93064,0.88059,0.94996,0.77497,0.70754,0.40778,0.01663,0.0011684,0.0011684,0.0011684
23,16423.4,0.83813,0.61146,0.01174,0.92914,0.89593,0.95716,0.79659,0.65337,0.36439,0.01465,0.0011288,0.0011288,0.0011288
24,17185.9,0.82302,0.62024,0.01181,0.93834,0.89404,0.95863,0.80579,0.61411,0.3723,0.01361,0.0010892,0.0010892,0.0010892
25,17907.7,0.80352,0.57976,0.01143,0.93001,0.89208,0.9525,0.79741,0.64989,0.37071,0.01466,0.0010496,0.0010496,0.0010496
26,18537.5,0.80625,0.57938,0.01142,0.94884,0.86845,0.95603,0.80361,0.6333,0.35583,0.01444,0.00101,0.00101,0.00101
27,19303.9,0.7902,0.57248,0.01093,0.92396,0.90677,0.96452,0.80573,0.62833,0.3567,0.01412,0.0009704,0.0009704,0.0009704
28,20011,0.7968,0.57924,0.01117,0.92305,0.91157,0.96654,0.81329,0.61982,0.3247,0.01373,0.0009308,0.0009308,0.0009308
29,20698.7,0.77737,0.55206,0.01081,0.94011,0.90932,0.96538,0.81625,0.60825,0.31412,0.01337,0.0008912,0.0008912,0.0008912
30,21437.1,0.77273,0.53923,0.01086,0.95303,0.90696,0.96513,0.82484,0.57845,0.31123,0.0126,0.0008516,0.0008516,0.0008516
31,22189.1,0.75395,0.53441,0.01042,0.94764,0.90932,0.96899,0.8334,0.55463,0.30095,0.01178,0.000812,0.000812,0.000812
32,22887.6,0.75068,0.53198,0.01028,0.94887,0.90069,0.96738,0.82659,0.59424,0.31331,0.0131,0.0007724,0.0007724,0.0007724
33,23587.3,0.72581,0.51589,0.01009,0.94527,0.90358,0.9685,0.82773,0.57538,0.29902,0.01231,0.0007328,0.0007328,0.0007328
34,24205.2,0.73025,0.50869,0.01008,0.95007,0.92351,0.97205,0.82845,0.58072,0.28442,0.01252,0.0006932,0.0006932,0.0006932
35,24973.6,0.73229,0.49985,0.00996,0.93636,0.92784,0.96955,0.83571,0.54849,0.29055,0.01155,0.0006536,0.0006536,0.0006536
36,25644.3,0.72895,0.50703,0.00992,0.96085,0.9089,0.97002,0.84469,0.52983,0.29398,0.01124,0.000614,0.000614,0.000614
37,26401,0.69587,0.47306,0.00956,0.95012,0.9189,0.97197,0.84274,0.53655,0.28506,0.01124,0.0005744,0.0005744,0.0005744
38,27026.5,0.69687,0.47219,0.00952,0.95786,0.91451,0.97399,0.84355,0.53647,0.26599,0.01125,0.0005348,0.0005348,0.0005348
39,27815.1,0.69639,0.468,0.0095,0.96115,0.90741,0.9721,0.84221,0.54393,0.27713,0.01151,0.0004952,0.0004952,0.0004952
40,28577.1,0.68454,0.4617,0.0092,0.96208,0.91699,0.97541,0.85122,0.5202,0.26352,0.01077,0.0004556,0.0004556,0.0004556
41,29238.9,0.55989,0.3055,0.0097,0.95597,0.90868,0.97057,0.84069,0.54833,0.26995,0.01165,0.000416,0.000416,0.000416
42,29864,0.54556,0.2873,0.00927,0.9494,0.92248,0.97429,0.84278,0.52972,0.26526,0.01084,0.0003764,0.0003764,0.0003764
43,30606.6,0.53095,0.28283,0.00892,0.94275,0.92529,0.97075,0.84872,0.52211,0.25613,0.01067,0.0003368,0.0003368,0.0003368
44,31260.1,0.52491,0.27503,0.0087,0.95421,0.92337,0.97446,0.8541,0.51243,0.25463,0.01059,0.0002972,0.0002972,0.0002972
45,31934,0.51409,0.2769,0.00832,0.95819,0.92205,0.97675,0.86012,0.49523,0.25214,0.01,0.0002576,0.0002576,0.0002576
46,32654.4,0.50453,0.27068,0.00832,0.96135,0.92115,0.97278,0.85782,0.50311,0.24835,0.0103,0.000218,0.000218,0.000218
47,33433.1,0.50802,0.26873,0.00802,0.95807,0.92146,0.97614,0.8592,0.48688,0.25166,0.00972,0.0001784,0.0001784,0.0001784
48,34279.1,0.48984,0.2581,0.00773,0.95081,0.92578,0.97673,0.86169,0.48505,0.24304,0.00972,0.0001388,0.0001388,0.0001388
49,35066.3,0.47501,0.25325,0.00762,0.97058,0.91699,0.97706,0.86173,0.48506,0.24465,0.00972,9.92e-05,9.92e-05,9.92e-05
50,37044,0.47528,0.24736,0.00762,0.95835,0.92976,0.9773,0.86163,0.4832,0.24174,0.00966,5.96e-05,5.96e-05,5.96e-05
